latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
31.602312,74.371025,304.53,0.39,0.36,2020-01-02,2044,N,VIIRS,n,1,278.86,0.75,N,2
33.355011,71.194031,298.82,0.51,0.41,2020-01-02,2044,N,VIIRS,n,1,275.19,0.96,N,0
25.051397,67.496124,298.48,0.43,0.46,2020-01-02,2046,N,VIIRS,n,1,284.11,0.53,N,2
24.908648,66.703583,302.86,0.48,0.48,2020-01-02,2046,N,VIIRS,n,1,282.65,5.2,N,0
24.908134,66.708344,338.17,0.48,0.48,2020-01-02,2046,N,VIIRS,n,1,283.47,5.93,N,0
24.940523,68.593399,329.9,0.58,0.52,2020-01-03,0800,N,VIIRS,n,1,291.97,3.56,D,0
24.94161,68.595322,332.06,0.58,0.52,2020-01-03,0800,N,VIIRS,n,1,291.45,4.49,D,0
25.825428,68.857689,327.62,0.54,0.51,2020-01-03,0800,N,VIIRS,n,1,291.76,4.11,D,0
25.607595,68.928116,340.53,0.54,0.51,2020-01-03,0800,N,VIIRS,n,1,291.15,5.81,D,0
25.007599,66.980751,338.8,0.36,0.58,2020-01-03,0800,N,VIIRS,n,1,290.47,2.23,D,0
29.874325,72.164185,339.46,0.46,0.39,2020-01-03,0801,N,VIIRS,n,1,292.55,4.93,D,0
29.952826,72.385468,341.31,0.45,0.39,2020-01-03,0801,N,VIIRS,n,1,294.75,3.24,D,0
29.866604,72.017441,334.18,0.47,0.39,2020-01-03,0801,N,VIIRS,n,1,290.73,3.47,D,0
29.969019,72.352791,330.96,0.45,0.39,2020-01-03,0801,N,VIIRS,n,1,291.85,2.91,D,0
29.997437,72.408638,329.41,0.45,0.39,2020-01-03,0801,N,VIIRS,n,1,293.93,5.66,D,0
30.028919,72.482521,342.77,0.44,0.39,2020-01-03,0801,N,VIIRS,n,1,292.46,5.08,D,0
29.927523,70.974876,329.47,0.52,0.41,2020-01-03,0801,N,VIIRS,n,1,292.59,3.42,D,0
30.237373,72.489594,344.4,0.44,0.39,2020-01-03,0801,N,VIIRS,n,1,291.34,6.44,D,0
29.76218,69.70829,333.45,0.4,0.45,2020-01-03,0801,N,VIIRS,n,1,291.62,2.72,D,0
28.031162,69.621452,337.87,0.44,0.46,2020-01-03,0801,N,VIIRS,n,1,292.04,6.4,D,0
27.953211,69.156769,338.21,0.47,0.48,2020-01-03,0801,N,VIIRS,n,1,290.78,6.81,D,0
27.952232,69.152054,333.93,0.47,0.48,2020-01-03,0801,N,VIIRS,n,1,290.97,4.3,D,0
28.169092,70.133255,331.93,0.41,0.45,2020-01-03,0801,N,VIIRS,n,1,289.97,2.78,D,0
28.166437,69.771263,330.03,0.43,0.46,2020-01-03,0801,N,VIIRS,n,1,292.3,2.82,D,0
28.090181,69.313484,331.63,0.46,0.47,2020-01-03,0801,N,VIIRS,n,1,290.51,3.06,D,0
28.179506,69.598228,327.95,0.44,0.46,2020-01-03,0801,N,VIIRS,n,1,291.9,2.3,D,0
28.34133,69.836739,339.13,0.42,0.45,2020-01-03,0801,N,VIIRS,n,1,291.4,10.93,D,0
28.340481,69.832489,332.16,0.42,0.45,2020-01-03,0801,N,VIIRS,n,1,293.03,10.93,D,0
28.362022,69.853798,335.93,0.42,0.45,2020-01-03,0801,N,VIIRS,n,1,292.62,4.07,D,0
28.352625,69.676544,353.28,0.43,0.46,2020-01-03,0801,N,VIIRS,n,1,295.21,19.16,D,0
28.422169,69.954124,339.19,0.41,0.45,2020-01-03,0801,N,VIIRS,n,1,292.3,4.78,D,0
28.481234,70.056793,340.06,0.41,0.45,2020-01-03,0801,N,VIIRS,n,1,294.96,5.38,D,0
28.551229,70.390175,339.12,0.39,0.44,2020-01-03,0801,N,VIIRS,n,1,293.16,4.96,D,0
28.378242,69.522522,338.79,0.44,0.46,2020-01-03,0801,N,VIIRS,n,1,291.64,7.86,D,0
